name,detail,urlId
烂边病正常耳状幼体,正常的耳状幼体，边缘组织结构完整,http://localhost:8000/photo/edgeRot01
烂边病感染初期,感染初期，耳状幼体边缘加黑,http://localhost:8000/photo/edgeRot02
烂边病感染加重,感染加重，幼体外缘处体壁崩解,http://localhost:8000/photo/edgeRot03
烂边病幼体解体,整个体壁崩解，幼体解体，自溶死亡,http://localhost:8000/photo/edgeRot04
烂胃病正常耳状幼体,正常耳状幼体的胃，外观呈规则的梨形，组织结构完整清晰,http://localhost:8000/photo/rottenStomach01
烂胃病感染初期,幼体的胃开始萎缩变形，收缩成近椭球形;插图显示胃部组织的放大,http://localhost:8000/photo/rottenStomach02
烂胃病感染加重,幼体胃壁表皮细胞逐渐散落;插图是另一个患病个体的胃，胃基部组织加厚,http://localhost:8000/photo/rottenStomach03
烂胃病幼体解体,幼体的整个胃部组织开始分解，胃周围有大量脱落的上皮细胞(箭头);插图为胃部组织的放大,http://localhost:8000/photo/rottenStomach04
幼体感染,幼体表皮出现褐色“锈斑”,http://localhost:8000/photo/plankDisease01
镜检锈斑,镜检锈斑处有大量球状细菌,http://localhost:8000/photo/plankDisease01
病原菌革兰氏染色,化板病病原菌的革兰氏染色,http://localhost:8000/photo/plankDisease01
病原菌电镜图,化板病病原菌的电镜照片,http://localhost:8000/photo/plankDisease01
口部感染,"病参的口部感染,围口膜肿胀,松弛",http://localhost:8000/photo/rottenSkinSyndrome01
排脏反应,"病参受到感染后,发生排脏反应,排出呼吸树、肠道等内脏器官",http://localhost:8000/photo/rottenSkinSyndrome02
身体收缩,病参身体收缩，口腹部表皮先出现溃烂,http://localhost:8000/photo/rottenSkinSyndrome03
触手收缩,病参触手收缩，围口膜脱落，口不能闭合，体表棘刺秃钝,http://localhost:8000/photo/rottenSkinSyndrome04
身体僵直,病参身体僵直，体表出现大面积蓝白色溃烂区域，身体后侧体壁形成空洞，内脏漏出,http://localhost:8000/photo/rottenSkinSyndrome05
身体溃烂,"病参身体严重溃烂,大部分组织溶化为.鼻涕状的胶体",http://localhost:8000/photo/rottenSkinSyndrome06
体表色素减退,"病参的体表色素减退，通体半透明状，上皮层变薄,水肿",http://localhost:8000/photo/mycosis01
体色改变,病参体色由原来的黄褐色变为白色，棘刺变秃钝,http://localhost:8000/photo/mycosis02
病参身体收缩,病参身体收缩，背部表皮先出现溃烂，棘刺脱落，成为一个白点，深层肌肉露出,http://localhost:8000/photo/mycosis03
表皮层分解脱落,病参表皮层完全分解脱落，露出深层肌肉,http://localhost:8000/photo/mycosis04
排脏,被后口虫感染后，刚排脏的刺参，箭头示排出的呼吸树,http://localhost:8000/photo/posteriorStomatitis01
呼吸树寄生虫,呼吸树端部囊膜外有大量后口虫寄生(箭头),http://localhost:8000/photo/posteriorStomatitis02
